rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,spotify:track:0bYg9bo50gSsH3LtXe2SQn,Mariah Carey,All I Want for Christmas Is You,Columbia,1,1,51,5231270
2,spotify:track:06qMRF18gwbOYYbnP2du6i,Wham!,Last Christmas - Single Version,Sony Music CG,1,2,50,5178505
3,spotify:track:2TE4xW3ImvpltVU0cPcKUn,Shakin' Stevens,Merry Christmas Everyone,Sony Music CG,3,3,43,4361595
4,spotify:track:7uoFMmxln0GPXQ0AcCBXRq,Sia,Snowman,Monkey Puzzle/Atlantic,4,5,29,3713344
5,spotify:track:2uFaJJtFpPDc5Pa95XzTvg,Dean Martin,Let It Snow! Let It Snow! Let It Snow!,Capitol Records,5,6,33,3326334
6,spotify:track:27qAMKrDdKEs8HDXcvR24R,Chris Rea,Driving Home for Christmas - 2019 Remaster,Rhino,3,7,41,3224749
7,spotify:track:0SvD6EdetxVtXei2JhkV4B,Melanie Thornton,Wonderful Dream (Holidays Are Coming) - Radio Version,X-cell Records,5,9,40,3048802
8,spotify:track:30vg2QguPyaa7PcAJTn9YE,YAKARY,sonnenbank.mp3,Life is Pain,1,4,4,3002362
9,spotify:track:3nAp4IvdMPPWEH9uuXFFV5,Kelly Clarkson,Underneath the Tree,RCA Records Label,7,8,41,2979138
10,spotify:track:0lizgQ7Qw35od7CYaoMBZb,Ariana Grande,Santa Tell Me,Universal Records,6,12,45,2908712
11,spotify:track:2EjXfH91m7f8HiJN1yQg97,Brenda Lee,Rockin' Around The Christmas Tree,MCA Nashville,6,14,31,2662560
12,spotify:track:1rv46mRwDqMEhOBZ7vODg3,Michael Bublé,It's Beginning to Look a Lot like Christmas,Reprise,4,13,43,2620656
13,spotify:track:31nfdEooLEq7dn3UMcIeB5,BENNETT,Vois sur ton chemin - Techno Mix,Warner Music Central Europe,1,11,20,2531344
14,spotify:track:5ReQQXU6JXKWOi0O9GwI9x,"Bonez MC, Ufo361",MONEY & FAME,187 Strassenbande,14,-1,1,2480332
15,spotify:track:1SV1fxF65n9NhRHp3KlBuu,Paul McCartney,Wonderful Christmastime - Edited Version / Remastered 2011,Paul McCartney Catalog,6,19,39,2349713
16,spotify:track:3qCeq0rWK67SoBDgFd2sId,José Feliciano,Feliz Navidad,RCA Records Label,8,20,36,2259043
17,spotify:track:27RYrbL6S02LNVhDWVl38b,"John Lennon, Yoko Ono",Happy Xmas (War Is Over) - Remastered 2010,EMI Catalogue,9,21,39,2197005
18,spotify:track:3bH2Eu9A9ymI4UnGHRmoXg,"Ed Sheeran, Elton John",Merry Christmas,Atlantic Records UK,6,23,15,2158175
19,spotify:track:6TkXViJUO3SA6FMcrNwlD9,Bobby Helms,Jingle Bell Rock,Universal Digital Enterprises,6,22,38,2094535
20,spotify:track:4XgxsTII2KYZZMFt4JlnYU,Hava,Ja sagen,Hypnotize Entertainment,4,10,5,2084570
21,spotify:track:38XziJOR1OFb4fJ44IUrX1,"Jaques Raupé, Felix Harrer",3 Haselnüsse,Kontor Records,21,25,2,2069710
22,spotify:track:2xGO2UjzxeVQSIkyg98vck,Queen,Thank God It's Christmas - Non-Album Single,EMI,11,26,36,2067774
23,spotify:track:4xhsWYTOGcal8zt0J161CU,Jack Harlow,Lovin On Me,Generation Now/Atlantic,14,18,6,2057148
24,spotify:track:3rUGC1vUpkDG9CZFHMur1t,Tate McRae,greedy,RCA Records Label,1,15,14,1992196
25,spotify:track:59NraMJsLaMCVtwXTSia8i,"cassö, RAYE, D-Block Europe",Prada,Ministry of Sound Recordings,2,16,19,1981368
26,spotify:track:550rQQCGkrTzvp4SfpOPzx,Pentatonix,Hallelujah,RCA Records Label,17,31,38,1948147
27,spotify:track:7xapw9Oy21WpfEcib2ErSA,Justin Bieber,Mistletoe,RBMG/Def Jam,14,27,31,1931447
28,spotify:track:7LoFMtL7hxP9tr5HYyyUrJ,Bryan Adams,Christmas Time,Universal Music Enterprises,13,35,35,1896801
29,spotify:track:1IcR6RlgvDczfvoWJSSY2A,Andy Williams,It's the Most Wonderful Time of the Year,Columbia,13,37,35,1810915
30,spotify:track:0YWUHZPJVg4iujddsJDwhM,Britney Spears,My Only Wish (This Year),Jive,24,36,35,1784113
31,spotify:track:6tjituizSxwSmBB5vtgHZE,Michael Bublé,Holly Jolly Christmas,Reprise,21,38,27,1759073
32,spotify:track:7gcKoI9KokClK9ZUjNFgZa,Rolf Zuckowski,In der Weihnachtsbäckerei,Musik Fuer Dich,25,28,36,1752236
33,spotify:track:7oQepKHmXDaPC3rgeLRvQu,"Udo Lindenberg, Apache 207",Komet,Warner Music Central Europe,1,24,48,1718005
34,spotify:track:5mjYQaktjmjcMKcUIcqz4s,Kenya Grace,Strangers,Warner Records/Major Recordings,2,29,16,1634711
35,spotify:track:2sj5vf9ss7eUxSIVUp50EW,"MADE, Bayor, Rasa, Skandal, SHABAB, BARÉ",Koka Shem,MADE Entertainment,35,-1,1,1626326
36,spotify:track:3an1JVi8OsE0aG6dMS4Pes,AYLIVA,Hässlich,Whiteheart Records/WM Germany,1,32,17,1540319
37,spotify:track:2HafqoJbgXdtjwCOvNEF14,iñigo quintero,Si No Estás,Acqustic,1,30,12,1509471
38,spotify:track:5YWu6dt50Nieq8qi572RF8,"SIRA, Bausa, badchieff",9 bis 9,Four Music/SIRA,2,34,32,1478482
39,spotify:track:6WbDwAoc5xr0kFflHZW0A4,"Amaru, Gringo Bamba",Blonde Chaya - Sped Up,Virgin,4,33,11,1477060
40,spotify:track:3ilgxZl5g7MOQCUiky3VOG,Pashanim,Ms. Jackson,Urban,1,39,17,1472270
41,spotify:track:7fUYUcWy853HS8YJn0b3Sr,The Ronettes,Sleigh Ride,Legacy Recordings,24,46,30,1430366
42,spotify:track:2NY6OwXheFjzMvdVmw69mQ,JAS,Winterherz,Polydor/JRR,42,-1,1,1409116
43,spotify:track:0ma3FK9C9kaqS9zMXtZKr5,"Safraoui, Haftbefehl, Soufian, HoodBlaq",MANNSCHAFT,Columbia/BE.ELA.QU GmbH,43,-1,1,1362059
44,spotify:track:4mVnqNiw2Kf5AHj9j0KD6u,"RAF Camora, Ski Aggu",Liebe Grüsse,Indipendenza,1,40,8,1315509
45,spotify:track:0eLrZL1SJRqgN7iQZGY8Js,"Ingrid Michaelson, Grace VanderWaal",Rockin' Around The Christmas Tree,Cabin 24 Records,41,47,16,1311953
46,spotify:track:2L9QLAhrvtP4EYg1lY0Tnw,Dean Martin,Rudolph The Red-Nosed Reindeer,Capitol Records,23,57,30,1310428
47,spotify:track:7AOJcugo17Kr1WUheSI6Oq,"Luca-Dante Spadafora, Niklas Dee, Octavian, Peter Plate, Ulf Leo Sommer",Mädchen auf dem Pferd,Zeitgeist,1,44,30,1302929
48,spotify:track:4Yg2w0P29BBBMixyeNjDtj,Band Aid,Do They Know It's Christmas? - 1984 Version,EMI,17,58,33,1294115
49,spotify:track:3XqM8hLCEYlbnFjoWwqtFv,Chris Brown,Angel Numbers / Ten Toes,Chris Brown Entertainment/RCA Records,35,42,6,1290872
50,spotify:track:6pVW5LRWgeLaHudxauOTJU,Daryl Hall & John Oates,Jingle Bell Rock - Daryl's Version,Legacy Recordings,15,50,37,1290784
51,spotify:track:4CwhlCuirnGJGYw72mfuIS,"Farid Bang, CAPO, Bobby Vandamme",LEBEN ILLEGAL,Banger Musik,51,-1,1,1275621
52,spotify:track:4fzyvSu73BhGvi96p2zwjL,Coldplay,Christmas Lights,Parlophone UK,27,70,31,1228827
53,spotify:track:56y1jOTK0XSvJzVv9vHQBK,Doja Cat,Paint The Town Red,Kemosabe Records/RCA Records,1,45,20,1221057
54,spotify:track:2O3MQ6H3gjrIWDcpeTrikT,"Kelly Clarkson, Ariana Grande","Santa, Can’t You Hear Me",Atlantic Records,28,56,14,1216827
55,spotify:track:1N1ZpYUJc9fwrqk53FGgWv,Sia,Santa's Coming for Us,Monkey Puzzle/Atlantic,50,61,28,1213423
