Month,Name,Artist,streams
2023-06,Flowers,Miley Cyrus,30454005
2023-06,As It Was,Harry Styles,27532098
2023-06,BESO,"ROSALÍA, Rauw Alejandro",23958359
2023-06,Like Crazy,Jimin,23130967
2023-06,Daylight,David Kushner,23128512
2023-06,Take Two,BTS,23078904
2023-06,I Wanna Be Yours,Arctic Monkeys,23039274
2023-06,Calm Down (with Selena Gomez),"Rema, Selena Gomez",22989132
2023-06,I'm Good (Blue),"David Guetta, Bebe Rexha",22659493
2023-06,Cupid (Twin Ver.) - Live Studio Version OT4,FIFTY FIFTY,20372373
2023-07,vampire,Olivia Rodrigo,41341053
2023-07,Cruel Summer,Taylor Swift,35687742
2023-07,Like Crazy,Jimin,35640129
2023-07,Flowers,Miley Cyrus,35594840
2023-07,As It Was,Harry Styles,32059260
2023-07,Daylight,David Kushner,30495678
2023-07,Sprinter,"Dave, Central Cee",29622983
2023-07,I Wanna Be Yours,Arctic Monkeys,29462798
2023-07,I'm Good (Blue),"David Guetta, Bebe Rexha",28098664
2023-07,Dance The Night - From Barbie The Album,Dua Lipa,26120078
2023-08,Seven (feat. Latto),"Jung Kook, Latto",69231072
2023-08,Dance The Night - From Barbie The Album,Dua Lipa,58568701
2023-08,"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,52100296
2023-08,Cruel Summer,Taylor Swift,50007704
2023-08,Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series),"The Weeknd, Playboi Carti, Madonna",41960285
2023-08,Like Crazy,Jimin,41764392
2023-08,Sprinter,"Dave, Central Cee",41191993
2023-08,Flowers,Miley Cyrus,38145527
2023-08,I Wanna Be Yours,Arctic Monkeys,37341780
2023-08,vampire,Olivia Rodrigo,37185071
2023-09,Seven (feat. Latto),"Jung Kook, Latto",49268398
2023-09,Paint The Town Red,Doja Cat,47658742
2023-09,Cruel Summer,Taylor Swift,46594604
2023-09,I Wanna Be Yours,Arctic Monkeys,36701166
2023-09,Sprinter,"Dave, Central Cee",33838570
2023-09,Flowers,Miley Cyrus,32979966
2023-09,Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series),"The Weeknd, Playboi Carti, Madonna",30388950
2023-09,Dance The Night - From Barbie The Album,Dua Lipa,30212410
2023-09,vampire,Olivia Rodrigo,29141282
2023-09,Strangers,Kenya Grace,27059238
2023-10,Paint The Town Red,Doja Cat,61515264
2023-10,3D (feat. Jack Harlow),"Jung Kook, Jack Harlow",52266525
2023-10,greedy,Tate McRae,44036276
2023-10,Seven (feat. Latto),"Jung Kook, Latto",41343929
2023-10,Cruel Summer,Taylor Swift,41325328
2023-10,Strangers,Kenya Grace,40033559
2023-10,I Wanna Be Yours,Arctic Monkeys,37881494
2023-10,As It Was,Harry Styles,36851000
2023-10,Water,Tyla,29915609
2023-10,Prada,"cassö, RAYE, D-Block Europe",28924348
2023-11,greedy,Tate McRae,68046935
